county_name,state,year,dem_margin,turnout,turnout_vpi,persuasion_vpi,county_vpi,partisanturnout_vpi
Maricopa County,AZ,2016,-0.0289,0.4787,191.53238028183463,175.91383887563248,367.4462191574671,-5.5352857901450205
Milwaukee County,WI,2016,0.3701,0.6069,144.01226922544683,222.31055499540756,366.3228242208544,53.29894084033787
Belknap County,NH,2016,-0.1678,0.7013,100.9968310155155,237.12538122387284,338.1222122393883,-16.9472682444035
Clark County,NV,2012,0.146,0.457,174.48182515142892,146.84316982097099,321.3249949723999,25.47434647210862
Valencia County,NM,2004,-0.1232,0.5303,150.06408329100952,169.3992507297548,319.46333402076436,-18.487895061452374
New Castle County,DE,2004,0.22,0.6431,113.87489127191706,205.18542872446932,319.0603199963864,25.052476079821755
Genesee County,MI,2016,0.0946,0.6238,115.10472539322332,190.8262995826844,305.93102497590775,10.888907022198927
McKinley County,NM,2004,0.2764,0.4481,165.39415541994404,134.3041960556564,299.6983514756004,45.71494455807253
Waukesha County,WI,2004,-0.3529,0.8202,53.75775279465915,245.18972037610757,298.9474731707667,-18.971110961235212
Otero County,NM,2004,-0.3676,0.4749,149.53007058303479,135.2224374193691,284.7525080024039,-54.96725394632359
Washtenaw County,MI,2016,0.4128,0.6459999999999999,100.44395072636073,183.3233582075206,283.76730893388134,41.463262859841706
Philadelphia County,PA,2016,0.6698,0.5792,115.59349589899234,159.1244568243697,274.71795272336203,77.42452355314506
Guilford County,NC,2008,0.1836,0.7323,72.90535999434357,199.4072198474154,272.312579841759,13.385424094961481
Carroll County,NH,2016,-0.0566,0.7359,71.66321782227351,199.68814295900074,271.35136078127425,-4.05613812874068
Jasper County,MO,2008,-0.3318,0.5821,112.998530309618,157.38846920299895,270.38699951261697,-37.49291235673125
Chaves County,NM,2004,-0.3707,0.5284,126.1442213837979,141.35055886088452,267.49478024468243,-46.76166286697388
Miami-Dade County,FL,2012,0.2371,0.4267,151.3095096942224,112.62433121096068,263.9338409051831,35.875484748500135
Hennepin County,MN,2016,0.3493,0.7074,74.66045543246301,180.5351700844576,255.1956255169206,26.07889708255933
Merrimack County,NH,2004,0.0511,0.6797,79.5116924459457,168.73394681057644,248.24563925652214,4.063047483987825
Franklin County,MO,2008,-0.1237,0.6656,81.16689675691151,161.54398360069607,242.71088035760758,-10.040345128829955
Linn County,IA,2004,0.0993,0.728,65.61924563713434,175.65084026725302,241.27008590438734,6.51599109176744
Lea County,NM,2004,-0.5931,0.4982,119.26717968109836,118.40103711816364,237.66821679926198,-70.73736426885942
